0.000664 0.0255859375 0.040234375	0.02587890625 1.1591796875
0.000666 0.0255859375 0.041015625	0.0259765625 1.1591796875
0.000668 0.02568359375 0.04111328125	0.02646484375 1.1611328125
0.00067 0.02568359375 0.0412109375	0.025 1.15625
0.000672 0.0259765625 0.04169921875	0.02626953125 1.16015625
0.000674 0.02548828125 0.040625	0.0259765625 1.16015625
0.000676 0.026171875 0.042578125	0.02578125 1.1591796875
0.000678 0.02587890625 0.0416015625	0.02607421875 1.1591796875
0.00068 0.0255859375 0.0408203125	0.026171875 1.16015625
0.000682 0.02568359375 0.041015625	0.0259765625 1.1591796875
0.000684 0.0251953125 0.04072265625	0.02529296875 1.1572265625
0.000686 0.0255859375 0.04130859375	0.02509765625 1.15625
0.000688 0.025390625 0.04091796875	0.02568359375 1.158203125
0.00069 0.0259765625 0.0419921875	0.02587890625 1.16015625
0.000692 0.02607421875 0.04228515625	0.02568359375 1.1591796875
0.000694 0.02568359375 0.04169921875	0.0255859375 1.158203125
0.000696 0.02548828125 0.0412109375	0.02568359375 1.1591796875
0.000698 0.02548828125 0.04072265625	0.02568359375 1.16015625
0.0007 0.02548828125 0.04091796875	0.02509765625 1.1572265625
0.000702 0.025 0.04013671875	0.02490234375 1.15625
0.000704 0.0259765625 0.0419921875	0.025390625 1.1591796875
0.000706 0.02607421875 0.0423828125	0.02568359375 1.158203125
0.000708 0.02578125 0.041796875	0.026171875 1.1611328125
0.00071 0.025390625 0.041015625	0.02548828125 1.1591796875
0.000712 0.02548828125 0.04111328125	0.02548828125 1.158203125
0.000714 0.025390625 0.0404296875	0.0255859375 1.1591796875
0.000716 0.025390625 0.04091796875	0.02529296875 1.158203125
0.000718 0.02529296875 0.040625	0.024609375 1.154296875
0.00072 0.025390625 0.04111328125	0.02529296875 1.1572265625
0.000722 0.02548828125 0.0412109375	0.02548828125 1.158203125
0.000724 0.02529296875 0.04072265625	0.0255859375 1.1591796875
0.000726 0.025390625 0.04091796875	0.0251953125 1.158203125
0.000728 0.025390625 0.04091796875	0.02490234375 1.15625
0.00073 0.02529296875 0.0408203125	0.02568359375 1.1591796875
0.000732 0.02529296875 0.04072265625	0.02548828125 1.1591796875
0.000734 0.0255859375 0.0416015625	0.025 1.1572265625
0.000736 0.025390625 0.04111328125	0.0248046875 1.15625
0.000738 0.025 0.03984375	0.02509765625 1.1591796875
0.00074 0.025 0.0404296875	0.025390625 1.158203125
0.000742 0.0251953125 0.0408203125	0.02529296875 1.158203125
0.000744 0.02529296875 0.04140625	0.02509765625 1.1572265625
0.000746 0.0251953125 0.04111328125	0.0255859375 1.1591796875
0.000748 0.02529296875 0.04091796875	0.02568359375 1.16015625
